capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.65,131,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",318,2026-09-18T10:47:05.256003+00:00,2026-09-18
6,26.0,71.37,121,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",193,2026-09-18T11:39:22.597825+00:00,2026-09-18
8,30.0,107.75,147,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",260,2026-09-18T10:32:54.707123+00:00,2026-09-18
10,30.0,64.97,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",188,2026-09-18T09:16:49.736925+00:00,2026-09-18
12,27.5,60.53,84,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",145,2026-09-18T08:16:22.389709+00:00,2026-09-18
14,25.0,55.17,64,350.0,"Water Panther 14TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray",Water Panther,SATA,"Internal 3.5""",96,2026-09-18T10:28:49.148107+00:00,2026-09-18
16,36.31,58.33,84,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",119,2026-09-18T12:07:58.019736+00:00,2026-09-18
18,32.72,44.14,23,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",44,2026-09-18T09:58:54.472949+00:00,2026-09-18
20,34.95,57.0,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",39,2026-09-18T10:12:55.539151+00:00,2026-09-18
22,36.18,49.09,6,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",18,2026-09-18T07:46:37.024713+00:00,2026-09-18
24,35.83,50.73,10,859.99,"Seagate IronWolf Pro 24TB Enterprise NAS Internal HDD Hard Drive – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 512MB Cache for RAID Network Attached Storage, Rescue Services (ST24000NT002)",Seagate,SATA,"Internal 3.5""",30,2026-09-18T08:19:20.255958+00:00,2026-09-18
