capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,63.18,130,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",317,2026-09-16T11:00:26.321293+00:00,2026-09-16
6,26.0,68.32,121,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",194,2026-09-16T09:03:57.200267+00:00,2026-09-16
8,30.0,108.04,150,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",262,2026-09-16T08:11:12.987189+00:00,2026-09-16
10,30.0,64.97,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",188,2026-09-16T08:52:17.726603+00:00,2026-09-16
12,27.5,60.0,84,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",143,2026-09-16T12:14:52.824092+00:00,2026-09-16
14,25.0,54.2,67,350.0,"Water Panther 14TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray",Water Panther,SATA,"Internal 3.5""",100,2026-09-16T10:09:28.248685+00:00,2026-09-16
16,36.31,58.33,84,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",119,2026-09-16T09:24:59.817379+00:00,2026-09-16
18,32.72,43.28,21,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",43,2026-09-16T11:38:28.159861+00:00,2026-09-16
20,34.95,49.75,22,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-16T10:36:04.561028+00:00,2026-09-16
22,31.58,44.09,7,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",19,2026-09-16T10:37:36.161182+00:00,2026-09-16
24,39.15,52.47,8,939.52,Seagate Exos X24 ST24000NM000C 24TB 7200RPM SATA 6Gb/s 512MB Cache CMR 3.5-Inch Enterprise Hard Drive,Seagate,SATA,"Internal 3.5""",30,2026-09-16T10:28:14.09556+00:00,2026-09-16
