capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.92,126,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",311,2026-09-19T11:59:42.11868+00:00,2026-09-19
6,26.0,70.41,116,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",193,2026-09-19T08:38:36.708159+00:00,2026-09-19
8,30.0,108.66,144,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",255,2026-09-19T09:34:05.196353+00:00,2026-09-19
10,30.0,66.19,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",186,2026-09-19T09:28:11.112871+00:00,2026-09-19
12,26.25,61.33,85,315.0,Genuine MB012000GWDFE 12TB SATA 6G 7.2K LFF LP Helium 512E HDD Original,Genuine Original,SATA,"Internal 3.5""",144,2026-09-19T11:20:13.684972+00:00,2026-09-19
14,32.71,56.05,70,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",102,2026-09-19T09:46:57.621157+00:00,2026-09-19
16,36.31,59.22,77,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",112,2026-09-19T10:42:24.789992+00:00,2026-09-19
18,32.72,44.14,23,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",43,2026-09-19T11:14:48.910997+00:00,2026-09-19
20,34.95,58.4,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",40,2026-09-19T11:30:16.798449+00:00,2026-09-19
22,36.18,53.64,7,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-19T09:46:13.258958+00:00,2026-09-19
24,33.33,47.14,10,799.99,Seagate Exos X24 ST24000NM000C 24TB 7200RPM SATA 6Gb/s 512MB Cache CMR 3.5-Inch Enterprise Hard Drive,Seagate,SATA,"Internal 3.5""",31,2026-09-19T12:10:06.26255+00:00,2026-09-19
