capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,65.12,132,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",311,2026-09-08T21:25:27.273623+00:00,2026-09-09
6,25.67,71.88,118,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",190,2026-09-09T01:13:52.461672+00:00,2026-09-09
8,30.0,111.9,141,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",256,2026-09-09T01:16:01.030119+00:00,2026-09-09
10,30.0,66.17,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",192,2026-09-09T00:08:44.124366+00:00,2026-09-09
12,26.67,62.42,85,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",138,2026-09-08T21:31:02.127028+00:00,2026-09-09
14,24.93,56.51,64,349.0,Toshiba MG Series Enterprise 14TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG07ACA14TE,Toshiba,SATA,"Internal 3.5""",93,2026-09-09T01:17:43.118073+00:00,2026-09-09
16,36.31,59.22,85,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",122,2026-09-08T22:22:10.622297+00:00,2026-09-09
18,35.83,45.1,22,645.0,"HAYOOVANT Compatible for ST18000NM000J Exos X18 3.5"" 18TB SATA 6Gb 7.2K Enterprise Hard Drive",HAYOOVANT,SATA,"Internal 3.5""",43,2026-09-08T23:08:50.928957+00:00,2026-09-09
20,34.95,52.38,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",40,2026-09-08T21:30:02.983625+00:00,2026-09-09
22,31.58,42.5,8,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",21,2026-09-08T22:53:13.557431+00:00,2026-09-09
24,39.54,50.73,12,949.0,"TOSHIBA Internal Hard Drive 24 Tb 7200 RPM 1000 Mb 3.5"" Serial, W129036584 (7200 RPM 1000 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",32,2026-09-08T21:32:18.275635+00:00,2026-09-09
