capacity_tb,cheapest_usd_per_tb,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",284,2026-08-20T02:42:06.677304+00:00,2026-08-20
6,26.0,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",192,2026-08-20T03:14:27.052496+00:00,2026-08-20
8,32.5,259.99,MDD MAXDIGITALDATA MaxDigitalData 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for NAS Network Storage (MD8000GSA25672NAS),MDD MAXDIGITALDATA,SATA,"Internal 3.5""",252,2026-08-20T03:30:28.279248+00:00,2026-08-20
10,28.3,283.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",186,2026-08-20T03:49:27.908838+00:00,2026-08-20
12,28.33,339.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",146,2026-08-20T02:35:14.119451+00:00,2026-08-20
14,30.37,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",93,2026-08-20T00:16:22.718306+00:00,2026-08-20
16,35.65,570.32,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",106,2026-08-20T01:16:24.451844+00:00,2026-08-20
18,27.72,499.0,Seagate Exos X18 ST18000NM001J 18 TB Hard Drive - Internal - SATA (SATA/600),Seagate,SATA,"Internal 3.5""",37,2026-08-20T03:30:46.910666+00:00,2026-08-20
20,25.0,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",40,2026-08-20T00:43:22.677756+00:00,2026-08-20
22,31.77,699.0,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",15,2026-08-20T01:30:10.41128+00:00,2026-08-20
24,27.08,649.99,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM",Seagate,SATA,"Internal 3.5""",21,2026-08-20T01:16:42.657856+00:00,2026-08-20
