capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,62.5,118,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",287,2026-08-20T23:16:18.057753+00:00,2026-08-21
6,26.0,75.41,125,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",190,2026-08-20T23:49:23.620558+00:00,2026-08-21
8,32.5,100.0,139,259.99,MDD MAXDIGITALDATA MaxDigitalData 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for NAS Network Storage (MD8000GSA25672NAS),MDD MAXDIGITALDATA,SATA,"Internal 3.5""",252,2026-08-20T19:58:27.736601+00:00,2026-08-21
10,26.9,64.94,114,269.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",191,2026-08-20T21:01:01.132654+00:00,2026-08-21
12,28.33,53.73,90,339.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",146,2026-08-20T22:42:15.703494+00:00,2026-08-21
14,30.37,55.82,63,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",90,2026-08-20T20:31:51.464018+00:00,2026-08-21
16,31.25,55.12,90,499.99,"Seagate Barracuda 16TB Internal Hard Drive, 7200 U/Min, 512MB Cache, SATA 6Gb/s, 3.5"" (ST16000DM001)",Seagate,SATA,"Internal 3.5""",121,2026-08-20T22:03:47.668567+00:00,2026-08-21
18,30.5,43.71,18,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",39,2026-08-20T23:46:11.233515+00:00,2026-08-21
20,25.0,49.55,25,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",41,2026-08-20T21:15:34.122935+00:00,2026-08-21
22,31.61,47.87,7,695.51,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",15,2026-08-20T22:02:17.642426+00:00,2026-08-21
24,35.0,45.0,8,839.99,"Ubiquiti Networks Enterprise 3.5"" HDD, 24TB (UACC-HDD-E-24TB)",Ubiquiti Networks,SATA,"Internal 3.5""",19,2026-08-20T23:31:26.231667+00:00,2026-08-21
