capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,30.16,62.54,127,120.65,"IBM 4 TB 3.5"" Internal Hard Drive",IBM,SATA,"Internal 3.5""",305,2026-08-28T06:12:46.200266+00:00,2026-08-28
6,24.83,72.74,116,149.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",182,2026-08-28T05:43:45.669441+00:00,2026-08-28
8,30.0,105.97,143,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",264,2026-08-28T05:14:37.55401+00:00,2026-08-28
10,30.0,64.97,119,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn,Seagate,SATA,"Internal 3.5""",195,2026-08-28T06:07:02.203629+00:00,2026-08-28
12,27.5,55.17,92,329.99,"MDD 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5inch Internal Desktop Hard Drive, MD12TBGSA25672",MDD,SATA,"Internal 3.5""",145,2026-08-28T03:56:40.493164+00:00,2026-08-28
14,30.37,53.37,70,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",99,2026-08-28T05:36:34.607081+00:00,2026-08-28
16,35.69,58.33,88,571.08,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",122,2026-08-28T07:07:11.024262+00:00,2026-08-28
18,30.5,44.14,23,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",40,2026-08-28T05:44:03.91772+00:00,2026-08-28
20,31.5,52.38,27,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",48,2026-08-28T06:42:33.645969+00:00,2026-08-28
22,36.18,51.43,7,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",17,2026-08-28T04:26:20.325631+00:00,2026-08-28
24,39.54,44.17,13,949.0,"TOSHIBA Internal Hard Drive 24 Tb 7200 RPM 1000 Mb 3.5"" Serial, W129036584 (7200 RPM 1000 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",33,2026-08-28T05:56:30.583605+00:00,2026-08-28
