capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,32.5,63.8,124,130.0,"WD Black 4TB SATA 6.0 3.5"" Desktop HDD WD4003FZEX",Western Digital,SATA,"Internal 3.5""",304,2026-09-26T09:03:51.316068+00:00,2026-09-26
6,26.0,69.98,115,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",193,2026-09-26T11:30:59.969971+00:00,2026-09-26
8,30.0,108.04,146,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",257,2026-09-26T07:51:40.127537+00:00,2026-09-26
10,30.3,70.75,118,303.05,"10TB 3.5"" 6Gbps 7.2K SATA Hard Drive RVFR2 HUH721010ALE600",Generic,SATA,"Internal 3.5""",189,2026-09-26T11:34:09.049774+00:00,2026-09-26
12,27.5,62.33,91,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",150,2026-09-26T09:52:13.990279+00:00,2026-09-26
14,32.71,56.59,68,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",99,2026-09-26T07:56:31.189998+00:00,2026-09-26
16,37.44,61.39,68,599.0,"Seagate IronWolf Pro ST16000NE000 16 TB Hard Drive - 3.5"" Internal - SATA (SATA/600), Mechanical Hard Disk",Seagate,SATA,"Internal 3.5""",100,2026-09-26T09:57:20.389164+00:00,2026-09-26
18,32.72,46.83,25,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",42,2026-09-26T08:19:28.698247+00:00,2026-09-26
20,34.95,52.38,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-26T12:11:43.360099+00:00,2026-09-26
22,38.0,53.64,7,835.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-26T05:32:59.524543+00:00,2026-09-26
24,41.25,52.47,12,990.0,Seagate Exos X24 24TB Enterprise Hard Drive HDD SATA 6Gb/s 512MB Cache 7200 RPM 512e CMR Helium Sealed 3.5in Hard Drive ST24000NM000H,Seagate,SATA,"Internal 3.5""",33,2026-09-26T09:40:27.074957+00:00,2026-09-26
