capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.5,125,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",304,2026-09-21T09:45:58.419669+00:00,2026-09-21
6,26.0,69.15,118,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",194,2026-09-21T11:39:46.37402+00:00,2026-09-21
8,30.0,108.04,146,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",257,2026-09-21T08:11:33.862157+00:00,2026-09-21
10,30.3,71.74,112,303.05,"10TB 3.5"" 6Gbps 7.2K SATA Hard Drive RVFR2 HUH721010ALE600",Generic,SATA,"Internal 3.5""",181,2026-09-21T08:26:55.22255+00:00,2026-09-21
12,26.25,61.33,87,315.0,Genuine MB012000GWDFE 12TB SATA 6G 7.2K LFF LP Helium 512E HDD Original,Genuine Original,SATA,"Internal 3.5""",144,2026-09-21T08:44:56.090866+00:00,2026-09-21
14,32.71,56.05,68,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",98,2026-09-21T08:29:50.525002+00:00,2026-09-21
16,36.31,58.97,78,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",113,2026-09-21T09:57:06.856862+00:00,2026-09-21
18,32.72,44.95,24,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",40,2026-09-21T08:26:01.866956+00:00,2026-09-21
20,34.95,57.0,23,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",42,2026-09-21T08:49:30.734626+00:00,2026-09-21
22,36.18,53.64,7,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",20,2026-09-21T11:12:50.333586+00:00,2026-09-21
24,41.25,48.08,12,990.0,Seagate Exos X24 24TB Enterprise Hard Drive HDD SATA 6Gb/s 512MB Cache 7200 RPM 512e CMR Helium Sealed 3.5in Hard Drive ST24000NM000H,Seagate,SATA,"Internal 3.5""",32,2026-09-21T10:18:15.715419+00:00,2026-09-21
