capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.57,126,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",313,2026-09-24T10:27:09.980439+00:00,2026-09-24
6,26.0,69.15,118,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",195,2026-09-24T08:50:50.389531+00:00,2026-09-24
8,30.0,105.97,141,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",255,2026-09-24T12:01:30.288321+00:00,2026-09-24
10,30.3,67.15,112,303.05,"10TB 3.5"" 6Gbps 7.2K SATA Hard Drive RVFR2 HUH721010ALE600",Generic,SATA,"Internal 3.5""",188,2026-09-24T11:45:59.460628+00:00,2026-09-24
12,27.5,64.02,91,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",149,2026-09-24T11:10:28.553498+00:00,2026-09-24
14,32.71,56.59,68,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",101,2026-09-22T16:56:39.673159+00:00,2026-09-24
16,38.02,60.02,69,608.36,HP P23857-B21 16TB SATA 7.2K LFF SC 512e ISE HDD,HP,SATA,"Internal 3.5""",102,2026-09-24T11:40:29.267777+00:00,2026-09-24
18,32.72,46.11,25,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",43,2026-09-24T09:33:10.372484+00:00,2026-09-24
20,34.95,52.38,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",40,2026-09-24T09:46:47.383622+00:00,2026-09-24
22,38.0,53.64,7,835.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-22T20:38:18.394781+00:00,2026-09-24
24,41.25,52.47,12,990.0,Seagate Exos X24 24TB Enterprise Hard Drive HDD SATA 6Gb/s 512MB Cache 7200 RPM 512e CMR Helium Sealed 3.5in Hard Drive ST24000NM000H,Seagate,SATA,"Internal 3.5""",33,2026-09-24T12:11:22.876659+00:00,2026-09-24
