capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,30.16,63.81,136,120.65,"IBM 4 TB 3.5"" Internal Hard Drive",IBM,SATA,"Internal 3.5""",318,2026-09-02T22:06:12.200956+00:00,2026-09-04
6,25.67,72.48,117,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",190,2026-09-04T04:43:04.97887+00:00,2026-09-04
8,30.0,108.33,149,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",265,2026-09-04T05:23:00.207246+00:00,2026-09-04
10,30.0,64.97,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn,Seagate,SATA,"Internal 3.5""",190,2026-09-04T03:50:14.268798+00:00,2026-09-04
12,26.67,61.87,96,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",149,2026-09-04T05:23:00.209581+00:00,2026-09-04
14,31.43,56.05,72,439.99,"Toshiba MG Series Enterprise 14TB 256MB Cache 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive (MG08ACA14TE)",Toshiba,SATA,"Internal 3.5""",101,2026-09-03T10:27:29.158912+00:00,2026-09-04
16,35.61,59.67,79,569.73,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",117,2026-09-04T05:29:48.369771+00:00,2026-09-04
18,31.06,44.44,21,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",42,2026-09-04T04:04:53.324122+00:00,2026-09-04
20,31.5,51.15,24,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",43,2026-09-04T07:17:43.763453+00:00,2026-09-04
22,31.58,42.5,8,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",20,2026-09-04T02:27:26.581746+00:00,2026-09-04
24,35.83,46.58,13,859.95,"Seagate Barracuda 24TB Internal Hard Drive, 7200 U/Min, 512MB Cache, SATA 6Gb/s, 3.5"" (ST24000DM001)",Seagate,SATA,"Internal 3.5""",36,2026-09-04T05:29:24.638231+00:00,2026-09-04
