capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,36.25,62.57,128,145.0,"Toshiba MG04ACA400N - Toshiba 4TB 3.5"" SATA 7.2K 6Gb/s Hard Drive",Toshiba,SATA,"Internal 3.5""",312,2026-09-25T04:36:10.51472+00:00,2026-09-25
6,26.0,69.98,115,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",195,2026-09-25T10:36:22.277236+00:00,2026-09-25
8,30.0,105.2,144,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",260,2026-09-25T04:07:50.923052+00:00,2026-09-25
10,30.3,65.64,114,303.05,"10TB 3.5"" 6Gbps 7.2K SATA Hard Drive RVFR2 HUH721010ALE600",Generic,SATA,"Internal 3.5""",189,2026-09-25T03:36:30.74957+00:00,2026-09-25
12,27.5,62.76,92,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",150,2026-09-25T03:54:16.682876+00:00,2026-09-25
14,32.71,56.59,68,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",100,2026-09-25T04:55:35.994874+00:00,2026-09-25
16,38.02,61.28,69,608.36,HP P23857-B21 16TB SATA 7.2K LFF SC 512e ISE HDD,HP,SATA,"Internal 3.5""",100,2026-09-25T03:25:49.265929+00:00,2026-09-25
18,32.72,46.21,25,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",43,2026-09-25T02:46:42.823094+00:00,2026-09-25
20,34.95,52.38,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",40,2026-09-25T11:23:46.090826+00:00,2026-09-25
22,38.0,53.64,7,835.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-25T05:24:47.133756+00:00,2026-09-25
24,32.92,50.04,13,789.99,Seagate Exos X24 ST24000NM000C 24TB 7200RPM SATA 6Gb/s 512MB Cache CMR 3.5-Inch Enterprise Hard Drive,Seagate,SATA,"Internal 3.5""",33,2026-09-25T11:28:21.30871+00:00,2026-09-25
