capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,68.0,116,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",295,2026-08-22T20:28:14.320673+00:00,2026-08-23
6,26.0,75.87,121,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",191,2026-08-22T21:02:15.293088+00:00,2026-08-23
8,31.25,107.75,139,249.99,Seagate 8TB BarraCuda Internal Hard Drive | SATA 6 Gb/s (ST8000DM004),Seagate,SATA,"Internal 3.5""",260,2026-08-22T23:36:50.556541+00:00,2026-08-23
10,26.9,65.85,120,269.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",197,2026-08-22T22:29:54.854073+00:00,2026-08-23
12,28.33,60.0,97,339.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",155,2026-08-22T23:49:49.756278+00:00,2026-08-23
14,30.37,56.83,69,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",101,2026-08-22T21:52:24.814531+00:00,2026-08-23
16,31.25,56.78,78,499.99,"Seagate Barracuda 16TB Internal Hard Drive, 7200 U/Min, 512MB Cache, SATA 6Gb/s, 3.5"" (ST16000DM001)",Seagate,SATA,"Internal 3.5""",113,2026-08-22T23:23:00.289277+00:00,2026-08-23
18,30.5,43.28,21,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",41,2026-08-23T00:16:41.590417+00:00,2026-08-23
20,25.0,49.39,26,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",44,2026-08-23T00:14:40.821756+00:00,2026-08-23
22,31.58,47.76,6,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",15,2026-08-22T20:36:11.070183+00:00,2026-08-23
24,27.92,45.98,10,669.99,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM",Seagate,SATA,"Internal 3.5""",27,2026-08-22T20:32:02.150649+00:00,2026-08-23
