capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,69.74,122,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",298,2026-08-25T01:49:17.134859+00:00,2026-08-25
6,26.0,66.54,120,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",195,2026-08-25T02:28:49.924771+00:00,2026-08-25
8,31.25,99.86,140,249.99,Seagate 8TB BarraCuda Internal Hard Drive | SATA 6 Gb/s (ST8000DM004),Seagate,SATA,"Internal 3.5""",266,2026-08-25T00:21:26.118774+00:00,2026-08-25
10,26.9,64.89,117,269.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",202,2026-08-24T23:50:10.541836+00:00,2026-08-25
12,27.5,60.0,100,329.99,"MDD 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5inch Internal Desktop Hard Drive, MD12TBGSA25672",MDD,SATA,"Internal 3.5""",153,2026-08-25T01:08:08.404245+00:00,2026-08-25
14,30.37,57.79,71,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",105,2026-08-24T23:18:20.167712+00:00,2026-08-25
16,31.25,59.97,74,499.99,"Seagate Barracuda 16TB Internal Hard Drive, 7200 U/Min, 512MB Cache, SATA 6Gb/s, 3.5"" (ST16000DM001)",Seagate,SATA,"Internal 3.5""",108,2026-08-25T00:43:54.144928+00:00,2026-08-25
18,30.5,43.28,21,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",38,2026-08-24T23:17:51.421453+00:00,2026-08-25
20,25.0,50.27,25,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",43,2026-08-25T00:03:13.730723+00:00,2026-08-25
22,31.58,51.43,7,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",18,2026-08-25T02:07:29.427967+00:00,2026-08-25
24,27.92,46.12,13,669.99,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM",Seagate,SATA,"Internal 3.5""",32,2026-08-25T01:18:12.296727+00:00,2026-08-25
