capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,63.0,131,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",318,2026-09-15T08:28:54.821837+00:00,2026-09-15
6,26.0,68.32,121,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",191,2026-09-15T12:14:55.691421+00:00,2026-09-15
8,31.25,108.33,149,249.99,Seagate 8TB BarraCuda Internal Hard Drive | SATA 6 Gb/s (ST8000DM004),Seagate,SATA,"Internal 3.5""",261,2026-09-15T10:56:53.675999+00:00,2026-09-15
10,30.0,66.18,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",189,2026-09-15T11:07:11.015113+00:00,2026-09-15
12,27.5,60.0,86,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",144,2026-09-15T11:07:47.123645+00:00,2026-09-15
14,32.71,56.35,67,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",101,2026-09-15T11:57:35.939131+00:00,2026-09-15
16,36.31,58.97,80,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",116,2026-09-15T08:43:43.941186+00:00,2026-09-15
18,31.06,43.28,21,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",44,2026-09-15T09:12:26.006291+00:00,2026-09-15
20,34.95,53.46,22,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-15T09:41:26.700216+00:00,2026-09-15
22,31.58,44.09,7,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",19,2026-09-15T09:50:55.334602+00:00,2026-09-15
24,35.83,46.58,11,859.99,"Seagate IronWolf Pro 24TB Enterprise NAS Internal HDD Hard Drive – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 512MB Cache for RAID Network Attached Storage, Rescue Services (ST24000NT002)",Seagate,SATA,"Internal 3.5""",33,2026-09-15T11:23:22.872869+00:00,2026-09-15
