capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,62.61,117,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",292,2026-08-22T04:00:29.735409+00:00,2026-08-22
6,26.0,75.64,124,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",191,2026-08-22T04:35:16.103157+00:00,2026-08-22
8,31.25,106.86,138,249.99,Seagate 8TB BarraCuda Internal Hard Drive | SATA 6 Gb/s (ST8000DM004),Seagate,SATA,"Internal 3.5""",254,2026-08-22T04:42:05.694656+00:00,2026-08-22
10,26.9,65.85,114,269.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",193,2026-08-22T05:56:27.655412+00:00,2026-08-22
12,28.33,54.08,91,339.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",148,2026-08-22T04:50:22.263793+00:00,2026-08-22
14,30.37,55.82,67,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",99,2026-08-22T05:23:28.013149+00:00,2026-08-22
16,31.25,56.78,96,499.99,"Seagate Barracuda 16TB Internal Hard Drive, 7200 U/Min, 512MB Cache, SATA 6Gb/s, 3.5"" (ST16000DM001)",Seagate,SATA,"Internal 3.5""",128,2026-08-22T02:51:31.09608+00:00,2026-08-22
18,30.5,43.71,22,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",40,2026-08-22T05:24:29.241083+00:00,2026-08-22
20,25.0,49.55,25,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",45,2026-08-22T03:24:29.463151+00:00,2026-08-22
22,31.61,49.59,8,695.51,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",16,2026-08-22T03:45:12.997285+00:00,2026-08-22
24,27.92,45.98,10,669.99,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM",Seagate,SATA,"Internal 3.5""",28,2026-08-22T05:21:32.461533+00:00,2026-08-22
