capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.74,124,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",303,2026-09-22T10:52:23.06861+00:00,2026-09-22
6,26.0,69.15,118,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",195,2026-09-22T09:15:12.859106+00:00,2026-09-22
8,30.0,109.0,143,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",254,2026-09-22T08:21:17.986046+00:00,2026-09-22
10,30.3,69.45,114,303.05,"10TB 3.5"" 6Gbps 7.2K SATA Hard Drive RVFR2 HUH721010ALE600",Generic,SATA,"Internal 3.5""",184,2026-09-22T08:02:01.112204+00:00,2026-09-22
12,27.5,61.33,88,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",147,2026-09-22T09:40:00.466366+00:00,2026-09-22
14,32.71,55.82,71,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",102,2026-09-22T08:39:31.669887+00:00,2026-09-22
16,36.31,57.69,82,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",116,2026-09-22T11:29:24.369204+00:00,2026-09-22
18,32.72,46.19,26,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",44,2026-09-22T11:48:18.390802+00:00,2026-09-22
20,34.95,52.38,25,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",45,2026-09-22T10:37:24.746047+00:00,2026-09-22
22,38.0,53.64,7,835.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-22T08:45:19.322903+00:00,2026-09-22
24,33.33,47.14,12,799.99,Seagate Exos X24 ST24000NM000C 24TB 7200RPM SATA 6Gb/s 512MB Cache CMR 3.5-Inch Enterprise Hard Drive,Seagate,SATA,"Internal 3.5""",33,2026-09-22T10:21:21.049328+00:00,2026-09-22
