capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.7,128,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",327,2026-09-17T08:13:19.796746+00:00,2026-09-17
6,26.0,67.0,124,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",198,2026-09-17T10:07:06.879826+00:00,2026-09-17
8,30.0,107.75,149,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",267,2026-09-17T08:24:10.812585+00:00,2026-09-17
10,30.0,64.94,114,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",187,2026-09-17T08:35:42.153655+00:00,2026-09-17
12,27.5,60.0,83,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",142,2026-09-17T08:48:50.521137+00:00,2026-09-17
14,25.0,54.18,65,350.0,"14TB 7.2K RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with R340 R440 R640 R740",Water Panther,SATA,"Internal 3.5""",97,2026-09-17T08:48:50.501108+00:00,2026-09-17
16,36.31,58.33,84,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",124,2026-09-17T10:45:30.3371+00:00,2026-09-17
18,32.72,43.71,22,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",43,2026-09-17T09:15:07.495594+00:00,2026-09-17
20,34.95,49.75,22,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-17T07:46:51.515952+00:00,2026-09-17
22,36.18,48.72,6,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",18,2026-09-17T08:51:40.038726+00:00,2026-09-17
24,44.12,58.37,7,1058.9,"Western Digital 24TB WD Red Pro NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 Gb/s, CMR, 512 MB Cache, 3.5"" -WD241KFGX",Western Digital,SATA,"Internal 3.5""",28,2026-09-17T10:15:54.848813+00:00,2026-09-17
