capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.83,126,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",308,2026-09-13T10:50:59.680721+00:00,2026-09-13
6,26.0,68.32,117,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",190,2026-09-13T10:29:18.81132+00:00,2026-09-13
8,30.0,106.86,154,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",266,2026-09-13T08:50:28.14307+00:00,2026-09-13
10,30.0,66.24,118,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",193,2026-09-13T12:03:20.61358+00:00,2026-09-13
12,27.5,60.0,90,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",145,2026-09-13T11:14:28.293507+00:00,2026-09-13
14,31.43,56.35,71,439.99,"Toshiba MG Series Enterprise 14TB 256MB Cache 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive (MG08ACA14TE)",Toshiba,SATA,"Internal 3.5""",104,2026-09-13T10:33:06.010208+00:00,2026-09-13
16,36.31,59.38,76,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",113,2026-09-13T09:46:07.223347+00:00,2026-09-13
18,31.06,44.44,23,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",42,2026-09-13T12:09:27.74469+00:00,2026-09-13
20,34.95,57.0,21,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-13T10:39:31.060399+00:00,2026-09-13
22,36.18,49.2,6,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",18,2026-09-13T08:26:47.122821+00:00,2026-09-13
24,44.17,52.44,10,1059.99,"Western Digital 24TB WD Red Pro NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 Gb/s, CMR, 512 MB Cache, 3.5"" -WD241KFGX",Western Digital,SATA,"Internal 3.5""",32,2026-09-13T10:09:25.226699+00:00,2026-09-13
