capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,64.62,132,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",310,2026-09-06T03:02:22.926737+00:00,2026-09-06
6,25.67,67.84,118,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",188,2026-09-06T06:29:08.656676+00:00,2026-09-06
8,30.0,108.66,146,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",261,2026-09-06T04:44:08.886048+00:00,2026-09-06
10,30.0,66.17,113,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn,Seagate,SATA,"Internal 3.5""",189,2026-09-06T05:22:36.515734+00:00,2026-09-06
12,26.67,66.66,91,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",144,2026-09-06T04:17:19.619638+00:00,2026-09-06
14,28.57,56.28,69,399.99,"Seagate IronWolf Pro ST14000NE0008 14 TB Hard Drive - 3.5"" Internal - SATA (SATA/600)",Seagate,SATA,"Internal 3.5""",98,2026-09-06T06:31:27.105053+00:00,2026-09-06
16,35.14,59.53,75,562.27,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",112,2026-09-06T03:50:40.65713+00:00,2026-09-06
18,31.06,44.14,21,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",43,2026-09-06T06:33:07.178563+00:00,2026-09-06
20,31.5,52.38,23,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",42,2026-09-06T02:46:36.547368+00:00,2026-09-06
22,31.58,42.5,8,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",20,2026-09-06T03:29:28.760701+00:00,2026-09-06
24,39.54,48.72,12,949.0,"TOSHIBA Internal Hard Drive 24 Tb 7200 RPM 1000 Mb 3.5"" Serial, W129036584 (7200 RPM 1000 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",34,2026-09-06T04:32:13.30574+00:00,2026-09-06
