capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,30.16,66.0,123,120.65,"IBM 4 TB 3.5"" Internal Hard Drive",IBM,SATA,"Internal 3.5""",298,2026-08-26T20:59:20.621441+00:00,2026-08-27
6,24.83,72.48,119,149.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",187,2026-08-26T20:51:02.199353+00:00,2026-08-27
8,30.0,105.97,143,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",265,2026-08-26T22:36:03.478227+00:00,2026-08-27
10,30.3,64.97,123,303.05,"10TB 3.5"" 6Gbps 7.2K SATA Hard Drive RVFR2 HUH721010ALE600",Generic,SATA,"Internal 3.5""",198,2026-08-26T21:34:08.732675+00:00,2026-08-27
12,27.5,62.58,104,329.99,"MDD 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5inch Internal Desktop Hard Drive, MD12TBGSA25672",MDD,SATA,"Internal 3.5""",158,2026-08-26T23:12:15.094781+00:00,2026-08-27
14,30.37,53.57,73,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",101,2026-08-26T20:43:12.620107+00:00,2026-08-27
16,35.69,59.38,72,571.08,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",110,2026-08-26T21:35:10.566024+00:00,2026-08-27
18,30.5,44.15,22,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",40,2026-08-26T21:31:07.424019+00:00,2026-08-27
20,31.5,52.25,27,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",47,2026-08-26T21:44:46.514724+00:00,2026-08-27
22,36.18,51.43,7,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",18,2026-08-26T22:08:24.210381+00:00,2026-08-27
24,35.83,44.17,14,859.99,Seagate Skyhawk AI 24TB Video Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 512MB Cache for DVR NVR Security Camera System with in-House Rescue Services (ST24000VE002),Seagate,SATA,"Internal 3.5""",33,2026-08-26T23:58:35.837661+00:00,2026-08-27
