capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.65,127,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",310,2026-09-14T11:50:12.067872+00:00,2026-09-14
6,26.0,68.32,117,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",191,2026-09-14T11:14:29.915006+00:00,2026-09-14
8,30.0,108.33,151,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",263,2026-09-14T09:36:27.608145+00:00,2026-09-14
10,30.0,64.9,119,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",195,2026-09-14T08:28:06.668576+00:00,2026-09-14
12,27.5,60.0,90,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",147,2026-09-14T11:58:44.428772+00:00,2026-09-14
14,31.43,56.08,70,439.99,"Toshiba MG Series Enterprise 14TB 256MB Cache 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive (MG08ACA14TE)",Toshiba,SATA,"Internal 3.5""",104,2026-09-14T08:21:57.699152+00:00,2026-09-14
16,36.31,59.53,77,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",113,2026-09-14T10:23:19.230796+00:00,2026-09-14
18,31.06,44.44,23,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",45,2026-09-14T08:59:47.049088+00:00,2026-09-14
20,34.95,52.38,23,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",43,2026-09-14T11:23:07.446766+00:00,2026-09-14
22,36.18,49.2,6,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",18,2026-09-14T10:45:44.768519+00:00,2026-09-14
24,29.17,44.17,13,699.99,Seagate Exos X24 ST24000NM000C 24TB 7200RPM SATA 6Gb/s 512MB Cache CMR 3.5-Inch Enterprise Hard Drive,Seagate,SATA,"Internal 3.5""",35,2026-09-14T09:40:38.520884+00:00,2026-09-14
