capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,67.87,120,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",302,2026-08-24T01:07:16.43318+00:00,2026-08-24
6,26.0,72.48,121,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",192,2026-08-24T01:42:48.607313+00:00,2026-08-24
8,31.25,105.69,140,249.99,Seagate 8TB BarraCuda Internal Hard Drive | SATA 6 Gb/s (ST8000DM004),Seagate,SATA,"Internal 3.5""",266,2026-08-24T01:58:58.12695+00:00,2026-08-24
10,26.9,64.9,117,269.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",203,2026-08-23T23:08:18.444025+00:00,2026-08-24
12,27.5,60.0,100,329.99,"MDD 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5inch Internal Desktop Hard Drive, MD12TBGSA25672",MDD,SATA,"Internal 3.5""",157,2026-08-24T00:29:05.466134+00:00,2026-08-24
14,30.37,58.84,70,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",103,2026-08-23T22:38:56.453318+00:00,2026-08-24
16,31.25,60.01,73,499.99,"Seagate Barracuda 16TB Internal Hard Drive, 7200 U/Min, 512MB Cache, SATA 6Gb/s, 3.5"" (ST16000DM001)",Seagate,SATA,"Internal 3.5""",109,2026-08-24T00:01:56.603201+00:00,2026-08-24
18,30.5,43.28,21,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",40,2026-08-24T00:59:42.242033+00:00,2026-08-24
20,25.0,50.27,29,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",48,2026-08-23T23:23:39.376008+00:00,2026-08-24
22,31.58,51.43,7,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",17,2026-08-24T01:25:56.503621+00:00,2026-08-24
24,27.92,50.5,12,669.99,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM",Seagate,SATA,"Internal 3.5""",30,2026-08-24T01:25:38.157511+00:00,2026-08-24
