capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,64.25,133,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",313,2026-09-08T04:44:31.170869+00:00,2026-09-08
6,25.67,71.3,119,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",190,2026-09-08T04:14:41.396713+00:00,2026-09-08
8,30.0,110.45,142,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",254,2026-09-08T04:31:13.3826+00:00,2026-09-08
10,30.0,64.94,116,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",195,2026-09-08T03:36:17.029774+00:00,2026-09-08
12,26.67,63.22,86,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",143,2026-09-08T04:31:13.38355+00:00,2026-09-08
14,24.93,56.28,65,349.0,Toshiba MG Series Enterprise 14TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG07ACA14TE,Toshiba,SATA,"Internal 3.5""",95,2026-09-08T04:08:48.949144+00:00,2026-09-08
16,36.79,59.22,85,588.61,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",122,2026-09-08T05:11:30.979343+00:00,2026-09-08
18,35.83,45.1,22,645.0,"HAYOOVANT Compatible for ST18000NM000J Exos X18 3.5"" 18TB SATA 6Gb 7.2K Enterprise Hard Drive",HAYOOVANT,SATA,"Internal 3.5""",42,2026-09-08T02:09:38.337621+00:00,2026-09-08
20,31.5,51.15,22,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-08T04:39:35.371825+00:00,2026-09-08
22,31.58,44.09,9,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",21,2026-09-08T01:58:02.353591+00:00,2026-09-08
24,39.54,54.88,11,949.0,"TOSHIBA Internal Hard Drive 24 Tb 7200 RPM 1000 Mb 3.5"" Serial, W129036584 (7200 RPM 1000 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",28,2026-09-08T04:40:25.86942+00:00,2026-09-08
