capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,62.5,123,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",304,2026-09-20T11:24:33.49657+00:00,2026-09-20
6,26.0,69.15,120,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",197,2026-09-20T09:42:56.664533+00:00,2026-09-20
8,30.0,108.04,146,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",257,2026-09-20T08:32:55.46751+00:00,2026-09-20
10,30.0,69.45,112,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",182,2026-09-20T10:21:30.515468+00:00,2026-09-20
12,26.25,61.33,85,315.0,Genuine MB012000GWDFE 12TB SATA 6G 7.2K LFF LP Helium 512E HDD Original,Genuine Original,SATA,"Internal 3.5""",145,2026-09-20T10:39:49.75566+00:00,2026-09-20
14,32.71,56.28,69,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",101,2026-09-20T09:24:33.188944+00:00,2026-09-20
16,36.31,58.97,78,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",112,2026-09-20T11:34:04.11762+00:00,2026-09-20
18,32.72,44.14,23,589.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",41,2026-09-20T10:38:49.149916+00:00,2026-09-20
20,34.95,57.7,22,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",41,2026-09-20T10:23:23.767739+00:00,2026-09-20
22,36.18,53.64,7,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-20T11:34:04.233387+00:00,2026-09-20
24,41.25,48.46,11,990.0,Seagate Exos X24 24TB Enterprise Hard Drive HDD SATA 6Gb/s 512MB Cache 7200 RPM 512e CMR Helium Sealed 3.5in Hard Drive ST24000NM000H,Seagate,SATA,"Internal 3.5""",31,2026-09-20T11:39:35.303694+00:00,2026-09-20
