capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,30.16,64.01,137,120.65,"IBM 4 TB 3.5"" Internal Hard Drive",IBM,SATA,"Internal 3.5""",314,2026-09-02T22:06:12.200956+00:00,2026-09-05
6,25.67,71.39,119,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",189,2026-09-05T16:10:57.843658+00:00,2026-09-05
8,30.0,108.04,148,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",265,2026-09-05T17:48:29.398215+00:00,2026-09-05
10,30.0,64.97,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn,Seagate,SATA,"Internal 3.5""",191,2026-09-05T17:00:09.27432+00:00,2026-09-05
12,26.67,64.02,93,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",145,2026-09-05T15:00:11.733893+00:00,2026-09-05
14,28.57,56.31,68,399.99,"Seagate IronWolf Pro ST14000NE0008 14 TB Hard Drive - 3.5"" Internal - SATA (SATA/600)",Seagate,SATA,"Internal 3.5""",97,2026-09-05T16:14:08.414744+00:00,2026-09-05
16,35.14,59.8,78,562.27,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",115,2026-09-05T14:50:04.203963+00:00,2026-09-05
18,31.06,44.29,22,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",44,2026-09-05T16:43:05.815923+00:00,2026-09-05
20,31.5,52.67,24,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",43,2026-09-05T17:58:22.666123+00:00,2026-09-05
22,31.58,42.5,8,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",20,2026-09-05T17:07:36.62374+00:00,2026-09-05
24,39.54,50.87,11,949.0,"TOSHIBA Internal Hard Drive 24 Tb 7200 RPM 1000 Mb 3.5"" Serial, W129036584 (7200 RPM 1000 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",34,2026-09-05T15:58:49.591703+00:00,2026-09-05
