capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,64.01,131,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",315,2026-09-10T22:23:11.37384+00:00,2026-09-11
6,26.0,70.63,119,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",194,2026-09-10T23:31:27.081015+00:00,2026-09-11
8,30.0,108.33,151,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",261,2026-09-10T23:46:34.125299+00:00,2026-09-11
10,30.0,66.24,118,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",190,2026-09-10T21:44:16.254639+00:00,2026-09-11
12,27.5,61.33,87,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",143,2026-09-11T01:32:09.565693+00:00,2026-09-11
14,31.43,56.55,70,439.99,"Toshiba MG Series Enterprise 14TB 256MB Cache 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive (MG08ACA14TE)",Toshiba,SATA,"Internal 3.5""",103,2026-09-10T20:33:01.668229+00:00,2026-09-11
16,36.31,59.38,78,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",117,2026-09-10T22:56:26.005817+00:00,2026-09-11
18,35.83,45.76,21,645.0,"IMBXHZQ Compatible ST18000NM000J Exos X18 3.5"" 18TB SATA 6Gb 7.2K Enterprise Hard Drive",IMBXHZQ,SATA,"Internal 3.5""",43,2026-09-11T00:51:07.414518+00:00,2026-09-11
20,34.95,49.91,23,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",43,2026-09-10T23:52:53.019236+00:00,2026-09-11
22,36.18,49.2,6,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",19,2026-09-10T20:37:58.566191+00:00,2026-09-11
24,35.83,45.37,12,859.99,"Seagate IronWolf Pro 24TB Enterprise NAS Internal HDD Hard Drive – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 512MB Cache for RAID Network Attached Storage, Rescue Services (ST24000NT002)",Seagate,SATA,"Internal 3.5""",32,2026-09-10T23:02:16.982246+00:00,2026-09-11
