capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,65.0,131,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",307,2026-09-07T05:22:59.169729+00:00,2026-09-07
6,25.67,69.83,120,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",190,2026-09-07T04:21:38.607161+00:00,2026-09-07
8,30.0,108.66,146,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",260,2026-09-07T02:37:34.438074+00:00,2026-09-07
10,30.0,64.94,116,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",195,2026-09-07T03:28:44.056847+00:00,2026-09-07
12,26.67,62.42,89,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",144,2026-09-07T05:58:57.177409+00:00,2026-09-07
14,31.43,56.28,65,439.99,"Toshiba MG Series Enterprise 14TB 256MB Cache 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive (MG08ACA14TE)",Toshiba,SATA,"Internal 3.5""",94,2026-09-07T02:46:39.593829+00:00,2026-09-07
16,36.79,59.22,85,588.61,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",123,2026-09-07T05:59:29.805593+00:00,2026-09-07
18,31.06,44.44,25,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",46,2026-09-07T05:42:49.106214+00:00,2026-09-07
20,31.5,49.91,23,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",43,2026-09-07T03:21:22.602369+00:00,2026-09-07
22,31.58,44.09,9,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",21,2026-09-07T05:02:43.470604+00:00,2026-09-07
24,39.54,52.08,11,949.0,"TOSHIBA Internal Hard Drive 24 Tb 7200 RPM 1000 Mb 3.5"" Serial, W129036584 (7200 RPM 1000 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",29,2026-09-07T06:11:38.92979+00:00,2026-09-07
