capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,63.93,132,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",316,2026-09-02T01:25:38.970513+00:00,2026-09-02
6,24.83,69.77,117,149.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",188,2026-09-01T23:46:24.012929+00:00,2026-09-02
8,30.0,105.41,141,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",261,2026-09-02T00:28:02.041828+00:00,2026-09-02
10,30.0,64.9,115,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn,Seagate,SATA,"Internal 3.5""",189,2026-09-02T02:14:14.297998+00:00,2026-09-02
12,26.67,61.87,92,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",144,2026-09-02T02:09:10.506425+00:00,2026-09-02
14,32.71,56.31,70,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",98,2026-09-01T19:59:02.001614+00:00,2026-09-02
16,35.69,59.94,77,571.08,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",114,2026-09-02T01:57:12.331132+00:00,2026-09-02
18,31.06,47.07,20,559.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",39,2026-09-02T01:13:30.878134+00:00,2026-09-02
20,31.5,49.91,27,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",46,2026-09-02T01:51:04.115517+00:00,2026-09-02
22,36.18,49.61,6,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",18,2026-09-01T19:58:36.632401+00:00,2026-09-02
24,31.21,44.17,11,748.95,Western Digital Ultrastar DC HC580 WUH722424ALE604 0F62798 24TB 7.2K RPM SATA 6Gb/s 512e 3.5in Enterprise Hard Drive,Western Digital,SATA,"Internal 3.5""",34,2026-09-01T23:47:25.327266+00:00,2026-09-02
