capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,31.75,63.43,132,127.0,Seagate 4TB 7200RPM HDD,Seagate,SATA,"Internal 3.5""",317,2026-09-09T23:35:19.489751+00:00,2026-09-10
6,25.67,70.39,118,154.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",194,2026-09-09T21:59:41.181533+00:00,2026-09-10
8,30.0,110.72,147,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",259,2026-09-09T22:16:50.639876+00:00,2026-09-10
10,30.0,66.24,118,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn 3.5inch Internal Hard Drive,Seagate,SATA,"Internal 3.5""",192,2026-09-10T01:03:59.974991+00:00,2026-09-10
12,27.5,61.33,87,329.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",142,2026-09-10T00:15:14.503075+00:00,2026-09-10
14,31.43,56.75,67,439.99,"Toshiba MG Series Enterprise 14TB 256MB Cache 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise Hard Drive (MG08ACA14TE)",Toshiba,SATA,"Internal 3.5""",98,2026-09-09T22:37:21.476142+00:00,2026-09-10
16,36.31,59.22,77,580.99,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",117,2026-09-09T21:17:19.241158+00:00,2026-09-10
18,33.33,45.1,22,599.99,Western Digital Ultrastar DC HC550 18 TB Hard Drive - 3.5 Internal - SATA,Western Digital,SATA,"Internal 3.5""",43,2026-09-09T21:19:51.26813+00:00,2026-09-10
20,34.95,52.67,22,698.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",42,2026-09-09T21:46:49.172172+00:00,2026-09-10
22,31.58,42.32,8,694.75,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",21,2026-09-09T21:33:44.746619+00:00,2026-09-10
24,35.83,46.58,13,859.99,"Seagate IronWolf Pro 24TB Enterprise NAS Internal HDD Hard Drive – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 512MB Cache for RAID Network Attached Storage, Rescue Services (ST24000NT002)",Seagate,SATA,"Internal 3.5""",31,2026-09-09T22:40:38.558124+00:00,2026-09-10
